dataset,method,instability,invalidity,dissimilarity,dissparsity,implausability,discriminative_power
adult,validity,26790647808.0,0.2222011238336563,14471772160.0,0.029126212000846863,20191315968.0,0.7895219326019287
adult,connected_ball,38193512448.0,0.27780431509017944,10848182272.0,0.02912621572613716,19791779840.0,0.8167572617530823
adult,robust,25160171520.0,0.2012556791305542,17390581760.0,0.03087378479540348,23535095808.0,0.7624813914299011
adult,feasability,37011644416.0,0.37036997079849243,11130271744.0,0.029126213863492012,18460495872.0,0.8152287006378174
adult,discriminative,27066380288.0,0.1927008330821991,17485602816.0,0.029126212000846863,22597091328.0,0.7892916202545166
adult,plausable,35447132160.0,0.4590110182762146,9701665792.0,0.030643204227089882,17316429824.0,0.8192321062088013
adult,similarity,27340664832.0,0.2219773679971695,14430478336.0,0.029126212000846863,20266153984.0,0.7894759178161621
adult,combined,36438429696.0,0.2879749834537506,11330151424.0,0.02912621572613716,20672493568.0,0.8164131045341492
adult,CLUE,,,,,,
adult,GS,,0.49119511246681213,29075511296.0,0.4850485622882843,18114844672.0,0.7688331007957458
bank,validity,3416937984.0,0.018100857734680176,798882688.0,0.9970000386238098,217195264.0,0.5627030730247498
bank,connected_ball,2627759616.0,0.171721950173378,2534560512.0,0.9970000386238098,225175376.0,0.5684360265731812
bank,robust,7780200448.0,0.01678670197725296,3737144832.0,0.9970000386238098,1006040064.0,0.5808469653129578
bank,feasability,3487357440.0,0.2385902851819992,2963716864.0,0.9970000386238098,823719616.0,0.5705500245094299
bank,discriminative,6631560192.0,0.005617145448923111,1708973696.0,0.9970000386238098,583119040.0,0.5637162923812866
bank,plausable,1932970880.0,0.05672457441687584,648653504.0,0.9970000386238098,368210464.0,0.5583510994911194
bank,similarity,4338655232.0,0.039194051176309586,3229760000.0,0.9970000386238098,507012672.0,0.5645815134048462
bank,combined,3691118848.0,0.1267929971218109,3937995008.0,0.9970000386238098,944351936.0,0.5844775438308716
bank,DICE,698616704.0,0.4130746126174927,426138656.0,0.7320000529289246,4849829.5,0.7979171276092529
bank,FACE,47975848.0,0.2837951183319092,2941975808.0,0.8939999341964722,2874321664.0,0.5210266709327698
bank,GS,71413760.0,0.4691508710384369,105087416.0,0.9990000128746033,57617616.0,0.5655935406684875
churn,validity,129611784.0,0.0002157121925847605,146848560.0,0.26267606019973755,3975928.75,0.6687600016593933
churn,connected_ball,152791792.0,0.00019644558778963983,145495360.0,0.26267606019973755,3482065.75,0.6531699895858765
churn,robust,165609728.0,2.0528435925371014e-05,377622976.0,0.2685915231704712,80249576.0,0.808940052986145
churn,feasability,197140688.0,1.8217564502265304e-05,247769232.0,0.26267606019973755,34140464.0,0.7355799674987793
churn,discriminative,166361920.0,9.977221452572849e-06,248216016.0,0.26239433884620667,7031960.5,0.7483000159263611
churn,plausable,140913488.0,0.10686758160591125,168397360.0,0.2623032331466675,3464142.25,0.7087764739990234
churn,similarity,1126759168.0,0.006874485872685909,2219441408.0,0.26267606019973755,38936300.0,0.8679800629615784
churn,combined,109391952.0,1.1030435416614637e-05,311372160.0,0.26267606019973755,56505588.0,0.7890099883079529
churn,CLUE,,,,,,
churn,GS,,0.47212183475494385,81163328.0,0.6139436960220337,823627.25,0.6051599979400635
compas,validity,734789056.0,0.06572967767715454,827951680.0,0.567058801651001,138303456.0,0.7688456773757935
compas,connected_ball,733440064.0,0.06614073365926743,771586560.0,0.5666266679763794,179312912.0,0.7738617658615112
compas,robust,1622569344.0,0.0791717991232872,1822571392.0,0.567058801651001,175894816.0,0.7187297344207764
compas,feasability,2062672896.0,0.09290146827697754,1090909312.0,0.567058801651001,147515808.0,0.7213191390037537
compas,discriminative,781505280.0,0.0635838434100151,870573504.0,0.567058801651001,154887824.0,0.763014554977417
compas,plausable,361254752.0,0.21428866684436798,481918880.0,0.567058801651001,75095456.0,0.7791120409965515
compas,similarity,3555934976.0,0.27214688062667847,3634041856.0,0.5668449997901917,175190032.0,0.7217676639556885
compas,combined,1280879744.0,0.10834237188100815,1214467456.0,0.5522209405899048,165069984.0,0.7854733467102051
compas,CLUE,,,,,,
compas,GS,,0.6334532499313354,1206580352.0,0.6334842443466187,91002480.0,0.6138075590133667
diabetes,validity,5.469972133636475,0.02214929834008217,4.9302144050598145,0.9886363744735718,1.4524272680282593,0.7522410154342651
diabetes,connected_ball,5.393735885620117,0.014460021629929543,4.941269397735596,0.9887499809265137,1.5854333639144897,0.7562770843505859
diabetes,robust,19.591047286987305,6.5227950472035445e-06,19.692527770996094,0.9886363744735718,4.659364223480225,0.7606366276741028
diabetes,feasability,10.880329132080078,1.2285709090065211e-05,11.473913192749023,0.9887499809265137,6.209104537963867,0.7658441066741943
diabetes,discriminative,12.787924766540527,0.019129693508148193,12.60599136352539,0.9886363744735718,1.5208501815795898,0.7568761110305786
diabetes,plausable,4.413930416107178,0.19073332846164703,4.613128662109375,0.9880319237709045,0.9605465531349182,0.7237266302108765
diabetes,similarity,22.755985260009766,0.0884237065911293,17.50324058532715,0.9886363744735718,1.4744027853012085,0.7559140920639038
diabetes,combined,9.2558012008667,1.2386441085254773e-05,9.54395866394043,0.9887499809265137,5.076504230499268,0.7647186517715454
diabetes,CLUE,,,,,,
diabetes,DICE,3.9059500694274902,0.32335522770881653,2.985020399093628,0.956250011920929,0.9956864714622498,0.7297402024269104
diabetes,GS,,0.493585467338562,5.017793655395508,1.0,1.2748796939849854,0.6509190797805786
fico,validity,189113424.0,0.01874680444598198,105824576.0,0.9982608556747437,19114434.0,0.7640121579170227
fico,connected_ball,186120080.0,0.010308240540325642,108724776.0,0.9982070326805115,17519646.0,0.7682021856307983
fico,robust,432913376.0,0.015778232365846634,876768000.0,0.9982608556747437,79799968.0,0.7562141418457031
fico,feasability,731824128.0,0.03133917227387428,773681472.0,0.9982608556747437,50081976.0,0.7562141418457031
